family,n,mismatch_scale,clip,ips,snips,dr,ips_low,ips_high,snips_low,snips_high,dr_low,dr_high
ope,5000,1.0,0.05,0.497808182993168,0.5026619730307673,0.4961837366071828,0.4904022147591724,0.505407714931906,0.4948318963037356,0.5101214540871425,0.4889341449655431,0.5043998171182613
ope,5000,1.0,0.1,0.4833310263970277,0.5031917303717702,0.4960558264520004,0.4755033639731588,0.4911276456075628,0.4946539906638381,0.5115313098448148,0.4878083447092803,0.5041401644088197
ope,1000,2.0,0.1,1.0366855887721595,0.5074293858996152,0.4954091941269073,1.0023083241231183,1.0758868191316404,0.4931169157485915,0.5249763273085558,0.4760799071023917,0.5168839073586635
ope,1000,2.0,1e-06,1.1227975175980245,0.5100330055525811,0.4949068028745188,1.0736114848508869,1.1718490237023131,0.4927556361246293,0.5272639677828885,0.475057992566629,0.5135342758321884
ope,1000,2.0,0.001,1.1227975175980245,0.5100330055525811,0.4949068028745188,1.0747372671004085,1.174068225749736,0.4921361874236131,0.5309044953920663,0.4741235977351235,0.5164601006452499
ope,1000,2.0,0.01,1.1227975175980245,0.5100330055525811,0.4949068028745188,1.0790404407724628,1.172357443647027,0.493746300746323,0.5280282693497812,0.4764691049314877,0.513212006016605
ope,1000,2.0,0.0001,1.1227975175980245,0.5100330055525811,0.4949068028745188,1.071807380947915,1.1692931525045085,0.4919257925978954,0.5261220600682941,0.4751238628825854,0.513204279431752
ope,1000,2.0,0.05,1.101641957723287,0.5084934143845935,0.4947371301046935,1.054153549911066,1.1413176428057787,0.4888606857855176,0.5272317439416995,0.4789789195752716,0.514723595110115
ope,2500,1.0,0.01,0.4930401625687933,0.4932440348276329,0.4945925840657317,0.4820569248496843,0.5026955383637491,0.4823355556228272,0.5028254047008409,0.4839838212065241,0.5062877702038193
ope,2500,1.0,1e-06,0.4931950342771289,0.4931950342771289,0.494584218613773,0.4842055898686015,0.503815450978815,0.4842055898686015,0.503815450978815,0.4838684781012354,0.5066036596766096
ope,2500,1.0,0.001,0.4931950342771289,0.4931950342771289,0.494584218613773,0.4822384057114766,0.5042483137662686,0.4822384057114766,0.5042483137662686,0.486007816460715,0.5059506279531141
ope,2500,1.0,0.0001,0.4931950342771289,0.4931950342771289,0.494584218613773,0.4839236065200888,0.5031804005829869,0.4839236065200888,0.5031804005829869,0.483918653376019,0.5061164293745944
ope,2500,1.0,0.05,0.4881364493439497,0.4936059846160324,0.4945815607917367,0.4761965397208197,0.5004497875327203,0.4811272055661315,0.5053794906454473,0.4829956781717507,0.5050681787555489
ope,2500,1.0,0.1,0.4735590754542852,0.4925264255121391,0.494491590129297,0.4632356988391941,0.4846980561120231,0.4826197281728453,0.5053694500299056,0.4839611547929945,0.5075945153892969
ope,1000,1.0,0.1,0.4948985680590174,0.5179404425859088,0.4890678226108475,0.4772290275273822,0.5137766881100893,0.5008711848666183,0.5368399132583856,0.4696533954684147,0.50647645425084
ope,1000,1.0,0.05,0.5124747247770641,0.5180921859235272,0.4887913895346054,0.4937117423037369,0.5303828656840311,0.499068171939968,0.5354722705371627,0.4721176514601122,0.5067989363541451
ope,1000,1.0,0.01,0.5180946705071071,0.5181680629459642,0.4887712639539602,0.5010060936513047,0.5351059001854512,0.5010060936513047,0.5351091861471382,0.4708772642634133,0.5064142633750295
ope,1000,1.0,0.001,0.5181368300138016,0.5181368300138016,0.4887633356210072,0.4980810335877722,0.5374486343905032,0.4980810335877722,0.5374486343905032,0.4713125903748028,0.5043744941871472
ope,1000,1.0,0.0001,0.5181368300138016,0.5181368300138016,0.4887633356210072,0.501305413523337,0.5351992104320353,0.501305413523337,0.5351992104320353,0.4691191195870855,0.5048951268438678
ope,1000,1.0,1e-06,0.5181368300138016,0.5181368300138016,0.4887633356210072,0.5029510466579411,0.5347055646665475,0.5029510466579411,0.5347055646665475,0.4730395876727424,0.5066225492477208
ope,5000,0.5,0.0001,0.1410694233820309,0.4982826739982749,0.4864184519444318,0.1376595432514076,0.1444958826728068,0.4898870157381626,0.5078585276852938,0.479268718758994,0.4940065258634167
ope,5000,0.5,1e-06,0.1410694233820309,0.4982826739982749,0.4864184519444318,0.1377699144646395,0.1442059012096819,0.4885083064361565,0.5074471010727003,0.4785183081566694,0.4933990768866454
ope,5000,0.5,0.001,0.1410694233820309,0.4982826739982749,0.4864184519444318,0.1376471792242989,0.1444248407851513,0.4897046907115638,0.5074694986973097,0.4786660793105473,0.4943319894958752
ope,5000,0.5,0.01,0.1410671273911857,0.4982875169280761,0.4864184306317542,0.1377425217228803,0.1440547326371492,0.4888115168254983,0.5072067052978544,0.4779343606250733,0.4934039017017455
ope,5000,0.5,0.05,0.1409162140402773,0.4982839335744295,0.4864180813059692,0.1378666204583576,0.1438317297231984,0.4896147937580418,0.5062932447035534,0.4780186166536743,0.4942396836051987
ope,5000,0.5,0.1,0.1400906711639868,0.4982444087434428,0.4864162522507581,0.1363438765592887,0.14349508120248,0.4901176273192781,0.5081681486730066,0.4785249031705114,0.4949680417691723
