exp_name,family,method,lr,batch_size,seed,num_episodes,horizon,run_dir,avg_cumulative_reward
drr_lr0.0005_bs256_s55,rl,drr,0.0005,256,55,100,50,runs/drr_lr0.0005_bs256_s55_20260309_185845,4.338658108064697
drr_lr0.0005_bs256_s55,rl,drr,0.0005,256,55,200,100,runs/drr_lr0.0005_bs256_s55_20260309_185845,7.691271551677655
drr_lr0.002_bs64_s11,rl,drr,0.002,64,11,50,20,runs/drr_lr0.002_bs64_s11_20260309_185850,1.800555469339989
drr_lr0.002_bs64_s11,rl,drr,0.002,64,11,100,50,runs/drr_lr0.002_bs64_s11_20260309_185850,5.7119650908536705
drr_lr0.002_bs64_s11,rl,drr,0.002,64,11,200,100,runs/drr_lr0.002_bs64_s11_20260309_185850,11.253471683374933
drr_lr0.002_bs64_s22,rl,drr,0.002,64,22,50,20,runs/drr_lr0.002_bs64_s22_20260309_185854,2.1886630053613896
drr_lr0.002_bs64_s22,rl,drr,0.002,64,22,100,50,runs/drr_lr0.002_bs64_s22_20260309_185854,5.078493227094135
drr_lr0.002_bs64_s22,rl,drr,0.002,64,22,200,100,runs/drr_lr0.002_bs64_s22_20260309_185854,11.498954991098927
drr_lr0.002_bs64_s33,rl,drr,0.002,64,33,50,20,runs/drr_lr0.002_bs64_s33_20260309_185859,1.5765396973794648
drr_lr0.002_bs64_s33,rl,drr,0.002,64,33,100,50,runs/drr_lr0.002_bs64_s33_20260309_185859,4.899768960211786
drr_lr0.002_bs64_s33,rl,drr,0.002,64,33,200,100,runs/drr_lr0.002_bs64_s33_20260309_185859,9.853373108621659
drr_lr0.002_bs64_s44,rl,drr,0.002,64,44,50,20,runs/drr_lr0.002_bs64_s44_20260309_185904,1.8316886313553105
drr_lr0.002_bs64_s44,rl,drr,0.002,64,44,100,50,runs/drr_lr0.002_bs64_s44_20260309_185904,4.483905524728696
drr_lr0.002_bs64_s44,rl,drr,0.002,64,44,200,100,runs/drr_lr0.002_bs64_s44_20260309_185904,9.931481988575053
drr_lr0.002_bs64_s55,rl,drr,0.002,64,55,50,20,runs/drr_lr0.002_bs64_s55_20260309_185909,0.6159112359830121
